Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_TYPES_PERSONAL,PSL_POLITICAL_RELIGIOUS,,MULTIPLE_CHOICE,المعلومات الشخصية / المعتقدات الدينية أو السياسية
PSL_DATA_TYPES_PERSONAL,PSL_SEXUAL_ORIENTATION_GENDER_IDENTITY,,MULTIPLE_CHOICE,المعلومات الشخصية / الميل الجنسي
PSL_DATA_TYPES_PERSONAL,PSL_OTHER_PERSONAL,,MULTIPLE_CHOICE,المعلومات الشخصية / معلومات أخرى
PSL_DATA_TYPES_FINANCIAL,PSL_CREDIT_DEBIT_BANK_ACCOUNT_NUMBER,,MULTIPLE_CHOICE,المعلومات المالية / معلومات الدفع الخاصة بالمستخدم
PSL_DATA_TYPES_FINANCIAL,PSL_PURCHASE_HISTORY,,MULTIPLE_CHOICE,المعلومات المالية / سجلّ الشراء
PSL_DATA_TYPES_FINANCIAL,PSL_CREDIT_SCORE,,MULTIPLE_CHOICE,المعلومات المالية / الجدارة الائتمانية
PSL_DATA_TYPES_FINANCIAL,PSL_OTHER,,MULTIPLE_CHOICE,المعلومات المالية / معلومات مالية أخرى
PSL_DATA_TYPES_LOCATION,PSL_APPROX_LOCATION,true,MULTIPLE_CHOICE,الموقع الجغرافي / الموقع الجغرافي التقريبي
PSL_DATA_TYPES_LOCATION,PSL_PRECISE_LOCATION,,MULTIPLE_CHOICE,الموقع الجغرافي / الموقع الجغرافي الدقيق
PSL_DATA_TYPES_SEARCH_AND_BROWSING,PSL_WEB_BROWSING_HISTORY,,MULTIPLE_CHOICE,تصفُّح الويب / سجلّ تصفُّح الويب
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_EMAILS,,MULTIPLE_CHOICE,الرسائل / الرسائل الإلكترونية
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_SMS_CALL_LOG,,MULTIPLE_CHOICE,الرسائل / الرسائل القصيرة (SMS) أو رسائل الوسائط المتعددة (MMS)
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_OTHER_MESSAGES,true,MULTIPLE_CHOICE,الرسائل / الرسائل الأخرى داخل التطبيق
PSL_DATA_TYPES_PHOTOS_AND_VIDEOS,PSL_PHOTOS,true,MULTIPLE_CHOICE,الصور والفيديوهات / الصور
PSL_DATA_TYPES_PHOTOS_AND_VIDEOS,PSL_VIDEOS,,MULTIPLE_CHOICE,الصور والفيديوهات / الفيديوهات
PSL_DATA_TYPES_AUDIO,PSL_AUDIO,,MULTIPLE_CHOICE,الملفات الصوتية / التسجيلات الصوتية
PSL_DATA_TYPES_AUDIO,PSL_MUSIC,,MULTIPLE_CHOICE,الملفات الصوتية / ملفات الموسيقى
PSL_DATA_TYPES_AUDIO,PSL_OTHER_AUDIO,,MULTIPLE_CHOICE,الملفات الصوتية / الملفات الصوتية الأخرى
PSL_DATA_TYPES_HEALTH_AND_FITNESS,PSL_HEALTH,,MULTIPLE_CHOICE,الصحة واللياقة البدنية / معلومات عن الصحة
PSL_DATA_TYPES_HEALTH_AND_FITNESS,PSL_FITNESS,,MULTIPLE_CHOICE,الصحة واللياقة البدنية / معلومات عن اللياقة البدنية
PSL_DATA_TYPES_CONTACTS,PSL_CONTACTS,true,MULTIPLE_CHOICE,جهات الاتصال / جهات الاتصال
PSL_DATA_TYPES_CALENDAR,PSL_CALENDAR,,MULTIPLE_CHOICE,تقويم Google / أحداث التقويم
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_CRASH_LOGS,,MULTIPLE_CHOICE,معلومات التطبيق وأداؤه / سجلّات الأعطال
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_PERFORMANCE_DIAGNOSTICS,,MULTIPLE_CHOICE,معلومات التطبيق وأداؤه / بيانات التشخيص
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_OTHER_PERFORMANCE,,MULTIPLE_CHOICE,معلومات التطبيق وأداؤه / أي بيانات أخرى عن أداء التطبيق
PSL_DATA_TYPES_FILES_AND_DOCS,PSL_FILES_AND_DOCS,true,MULTIPLE_CHOICE,الملفات والمستندات / الملفات والمستندات
PSL_DATA_TYPES_APP_ACTIVITY,PSL_USER_INTERACTION,,MULTIPLE_CHOICE,النشاط على التطبيق / تفاعلات المستخدمين مع التطبيق
PSL_DATA_TYPES_APP_ACTIVITY,PSL_IN_APP_SEARCH_HISTORY,,MULTIPLE_CHOICE,النشاط على التطبيق / سجلّ البحث داخل التطبيق
PSL_DATA_TYPES_APP_ACTIVITY,PSL_APPS_ON_DEVICE,,MULTIPLE_CHOICE,النشاط على التطبيق / التطبيقات المثبّتة
PSL_DATA_TYPES_APP_ACTIVITY,PSL_USER_GENERATED_CONTENT,,MULTIPLE_CHOICE,النشاط على التطبيق / أي محتوى آخر من إنشاء المستخدمين
PSL_DATA_TYPES_APP_ACTIVITY,PSL_OTHER_APP_ACTIVITY,,MULTIPLE_CHOICE,النشاط على التطبيق / الإجراءات الأخرى
PSL_DATA_TYPES_IDENTIFIERS,PSL_DEVICE_ID,,MULTIPLE_CHOICE,الجهاز أو أرقام التعريف الأخرى / الجهاز أو أرقام التعريف الأخرى
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,true,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (الاسم) / هل يتم جمع هذه البيانات أو مشاركتها أو كلاهما؟ / بيانات يتم جمعها
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (الاسم) / هل يتم جمع هذه البيانات أو مشاركتها أو كلاهما؟ / بيانات تتم مشاركتها
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_EPHEMERAL,,true,MAYBE_REQUIRED,استخدام البيانات ومعالجتها (الاسم) / هل تتم معالجة هذه البيانات بشكل مؤقت؟
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,استخدام البيانات ومعالجتها (الاسم) / هل هذه البيانات مطلوبة لاستخدام تطبيقك، أو هل يمكن للمستخدمِين اختيار عدم جمعها؟ / يمكن للمستخدمِين اختيار جمع هذه البيانات أو عدم جمعها
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,true,SINGLE_CHOICE,استخدام البيانات ومعالجتها (الاسم) / هل هذه البيانات مطلوبة لاستخدام تطبيقك، أو هل يمكن للمستخدمِين اختيار عدم جمعها؟ / جمع البيانات مطلوب (لا يمكن للمستخدمِين إيقاف عملية جمع البيانات)
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,true,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (الاسم) / لماذا يتم جمع بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / وظائف التطبيق
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,true,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (الاسم) / لماذا يتم جمع بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / إحصاءات
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,true,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (الاسم) / لماذا يتم جمع بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / مراسلات المطوّر
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,true,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (الاسم) / لماذا يتم جمع بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / منع الاحتيال والأمان والامتثال
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (الاسم) / لماذا يتم جمع بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / الإعلان أو التسويق
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,true,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (الاسم) / لماذا يتم جمع بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / تخصيص
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,true,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (الاسم) / لماذا يتم جمع بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / إدارة الحساب
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (الاسم) / لماذا تتم مشاركة بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / وظائف التطبيق
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (الاسم) / لماذا تتم مشاركة بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / إحصاءات
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (الاسم) / لماذا تتم مشاركة بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / مراسلات المطوّر
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (الاسم) / لماذا تتم مشاركة بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / منع الاحتيال والأمان والامتثال
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (الاسم) / لماذا تتم مشاركة بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / الإعلان أو التسويق
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (الاسم) / لماذا تتم مشاركة بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / تخصيص
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (الاسم) / لماذا تتم مشاركة بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / إدارة الحساب
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,true,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (عنوان بريد إلكتروني) / هل يتم جمع هذه البيانات أو مشاركتها أو كلاهما؟ / بيانات يتم جمعها
